구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
용산구,원효로1가,용산더프라임,559,2014.02,77.63,56.75,23.48,140000,14억,150000,130000,서울특별시 용산구 원효로90길 11,24353
용산구,원효로1가,용산더프라임,559,2014.02,79.79,57.32,24.13,145000,"14억 5,000만 원",151000,130000,서울특별시 용산구 원효로90길 11,24353
용산구,원효로1가,용산더프라임,559,2014.02,80.98,58.58,24.49,145000,"14억 5,000만 원",151000,130000,서울특별시 용산구 원효로90길 11,24353
용산구,원효로1가,용산더프라임,559,2014.02,82.78,59.55,25.04,145000,"14억 5,000만 원",151000,130000,서울특별시 용산구 원효로90길 11,24353
용산구,원효로4가,강변삼성스위트,300,1999.12,79.82,59.92,24.14,141500,"14억 1,500만 원",148500,125000,서울특별시 용산구 원효로 40,2350
용산구,원효로4가,강변삼성스위트,300,1999.12,80.32,59.94,24.29,150000,15억,160000,139000,서울특별시 용산구 원효로 40,2350
용산구,원효로4가,풍전,138,1971.05,131.40,129.22,39.74,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 원효로25길 14,2349
용산구,원효로4가,풍전,138,1971.05,132.39,129.21,40.04,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 원효로25길 14,2349
용산구,이촌동,동아그린,499,1999.05,69.55,48.76,21.03,145000,"14억 5,000만 원",155000,137500,서울특별시 용산구 이촌로 100-8,2311
용산구,이촌동,동원베네스트,103,2005.11,106.10,84.97,32.09,155000,"15억 5,000만 원",160000,145000,서울특별시 용산구 이촌로14길 7,14388
용산구,이촌동,동원베네스트,103,2005.11,106.54,84.97,32.23,155000,"15억 5,000만 원",160000,145000,서울특별시 용산구 이촌로14길 7,14388
용산구,한강로1가,삼각.,130,1970.07,79.34,79.34,24.00,140000,14억,145000,135000,서울특별시 용산구 한강대로62길 32,1098370
용산구,한강로1가,삼각.,130,1970.07,85.95,85.95,25.99,145000,"14억 5,000만 원",150000,137500,서울특별시 용산구 한강대로62길 32,1098370
용산구,한강로3가,GS한강에클라트,89,2006.07,108.17,82.28,32.72,150000,15억,154000,146500,서울특별시 용산구 이촌로 1,14437
용산구,한강로3가,GS한강에클라트,89,2006.07,111.40,84.73,33.69,150000,15억,154000,146500,서울특별시 용산구 이촌로 1,14437
용산구,한강로3가,철우.,60,1978.02,82.02,68.76,24.81,155000,"15억 5,000만 원",156000,153500,서울특별시 용산구 서빙고로 48,2304
용산구,한강로3가,철우.,60,1978.02,82.09,68.83,24.83,155000,"15억 5,000만 원",156000,153500,서울특별시 용산구 서빙고로 48,2304
용산구,한남동,한남동리첸시아,371,2004.04,96.61,73.39,29.22,140000,14억,150000,130000,서울특별시 용산구 한남대로 60,12536
용산구,한남동,한남해피트리,68,2016.09,82.17,63.12,24.85,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,83.55,64.24,25.27,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,84.47,65.17,25.55,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,84.95,65.82,25.69,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,85.03,65.97,25.72,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
용산구,한남동,한남해피트리,68,2016.09,85.53,66.20,25.87,145000,"14억 5,000만 원",150000,140000,서울특별시 용산구 한남대로27길 60,34591
