id,name,type,lat,lon,address,operator,source
station_unique:543,서빙고역,경원선,37.51961,126.988358,서울시 용산구 서빙고로 238(서빙고동 241-11),한국철도공사,전체_도시철도역사정보_20260228
station_unique:544,서생역,동해선,35.346121,129.29304,울산시 울주군 서생면 화산리 1228-5,한국철도공사,전체_도시철도역사정보_20260228
station_unique:545,서울,인천국제공항선,37.55301784,126.9697643,서울특별시 용산구 청파로 378,공항철도주식회사,전체_도시철도역사정보_20260228
station_unique:546,서울대벤처타운,수도권 경량도시철도 신림선,37.47204068,126.933976556,서울특별시 관악구 신림로 144 (신림동),남서울경전철 주식회사,전체_도시철도역사정보_20260228
station_unique:547,서울대입구(관악구청),2호선,37.481233,126.952745,서울특별시 관악구 남부순환로 지하1822(봉천동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:548,서울숲역,분당선,37.543647,127.044686,서울시 성동구 왕십리로 지하 77,한국철도공사,전체_도시철도역사정보_20260228
station_unique:549,서울역,4호선,37.553172,126.972706,서울특별시 용산구 한강대로 지하392(동자동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:550,서울역,1호선,37.55585,126.972103,서울특별시 중구 세종대로 지하2(남대문로 5가),서울교통공사,전체_도시철도역사정보_20260228
station_unique:551,서울역(경의선),경의중앙선,37.556713,126.971387,서울시 중구 한강대로 405,한국철도공사,전체_도시철도역사정보_20260228
station_unique:552,서울지방병무청,수도권 경량도시철도 신림선,37.50604687,126.922783404,서울특별시 동작구 여의대방로 지하218 (대방동),남서울경전철 주식회사,전체_도시철도역사정보_20260228
station_unique:553,서원,수도권 경량도시철도 신림선,37.47827336,126.933228219,서울특별시 관악구 신림로 258 (신림동),남서울경전철 주식회사,전체_도시철도역사정보_20260228
station_unique:554,서정리역,경부선,37.056459,127.052844,경기도 평택시 탄현로 51,한국철도공사,전체_도시철도역사정보_20260228
station_unique:555,서초,2호선,37.49191,127.007685,서울특별시 서초구 서초대로 지하233(서초동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:556,서현역,분당선,37.384931,127.123249,경기도 성남시 분당구 성남대로 지하 601,한국철도공사,전체_도시철도역사정보_20260228
station_unique:557,석계,6호선,37.614937,127.065922,서울특별시 노원구 화랑로 지하 347-1(월계동) ,서울교통공사,전체_도시철도역사정보_20260228
station_unique:558,석계역,경원선,37.615206,127.065594,서울시 노원구 화랑로 341(월계동 36-4),한국철도공사,전체_도시철도역사정보_20260228
station_unique:559,석남(거북시장),도시철도 7호선,37.506208,126.676213,인천광역시 서구 길주로 지하 120 (석남동),인천교통공사,전체_도시철도역사정보_20260228
station_unique:560,석남(거북시장),인천지하철 2호선,37.507211,126.676304,인천광역시 서구 가석로 257 (석남동),인천교통공사,전체_도시철도역사정보_20260228
station_unique:561,석대,부산 경량도시철도 4호선,35.21825,129.13717,부산광역시 해운대구 석대천로 121,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:562,석바위시장,인천지하철 2호선,37.457659,126.692387,인천광역시 미추홀구 구월로 19 (주안동),인천교통공사,전체_도시철도역사정보_20260228
station_unique:563,석수역,경부선,37.435161,126.902233,경기도 안양시 만안구 경수대로 1431,한국철도공사,전체_도시철도역사정보_20260228
station_unique:564,석천사거리,인천지하철 2호선,37.4569323,126.710383,인천광역시 남동구 구월로 지하 181 (구월동),인천교통공사,전체_도시철도역사정보_20260228
station_unique:565,석촌,수도권  도시철도 9호선,37.505078,127.106944,서울특별시 송파구 석촌동 209,서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:566,석촌,8호선,37.505396,127.106995,서울특별시 송파구 송파대로 지하439(석촌동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:567,석촌고분,수도권  도시철도 9호선,37.502439,127.096611,서울특별시 송파구 삼학사로 지하 53 ,서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:568,선릉,2호선,37.504257,127.048174,서울특별시 강남구 테헤란로 지하340(삼성동),서울교통공사,전체_도시철도역사정보_20260228
station_unique:569,선릉역,분당선,37.504479,127.048941,서울시 강남구 테헤란로 지하 340,한국철도공사,전체_도시철도역사정보_20260228
station_unique:570,선바위역,안산과천선,37.451854,127.002164,경기도 과천시 중앙로 440,한국철도공사,전체_도시철도역사정보_20260228
station_unique:571,선부역,서해선,37.33459,126.81,경기도 안산시 단원구 선부광장로 34,한국철도공사,전체_도시철도역사정보_20260228
station_unique:572,선유도,서울 도시철도 9호선,37.537778,126.893889,서울특별시 영등포구 양평로 지하124,서울특별시 서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:573,선정릉,수도권  도시철도 9호선,37.51028,127.0437593,서울특별시 강남구 선릉로 580,서울시메트로9호선㈜,전체_도시철도역사정보_20260228
station_unique:574,선정릉역,분당선,37.510775,127.043717,서울시 강남구 선릉로 지하 580(삼성동),한국철도공사,전체_도시철도역사정보_20260228
station_unique:575,선학,인천지하철 1호선,37.426985,126.698872,인천광역시 연수구 경원대로 480,인천교통공사,전체_도시철도역사정보_20260228
station_unique:576,설화명곡,대구 도시철도 1호선,35.7986179,128.4893927,달성군 화원읍 비슬로 2476,대구교통공사,전체_도시철도역사정보_20260228
station_unique:577,성균관대역,경부선,37.300344,126.970861,경기도 수원시 장안구 서부로 2149,한국철도공사,전체_도시철도역사정보_20260228
station_unique:578,성남역,경강선,37.394709,127.11949,경기도 성남시 분당구 백현동 545-1,한국철도공사,전체_도시철도역사정보_20260228
station_unique:579,성복,신분당선,37.31374251,127.08057578,경기도 용인시 수지구 수지로 지하134,경기도 신분당선,전체_도시철도역사정보_20260228
station_unique:580,성서산업단지,대구 도시철도 2호선,35.8518236,128.5071662,달서구 달구벌대로 지하1280 (이곡동),대구교통공사,전체_도시철도역사정보_20260228
station_unique:581,성수,2호선,37.544628,127.055983,서울특별시 성동구 아차산로 100(성수동2가),서울교통공사,전체_도시철도역사정보_20260228
station_unique:582,성신여대입구,우이신설선,37.59247,127.01656,서울특별시 성북구 동선동1가 116-1,우이신설경전철운영㈜,전체_도시철도역사정보_20260228
station_unique:583,성신여대입구(돈암),4호선,37.592882,127.016908,서울특별시 성북구 동소문로 지하102(동선동4가),서울교통공사,전체_도시철도역사정보_20260228
station_unique:584,성환역,경부선,36.915781,127.127007,충남 천안시 서북구 성환읍 성환1로 237-5(성환리 449-128),한국철도공사,전체_도시철도역사정보_20260228
station_unique:585,세류역,경부선,37.244102,127.013772,경기도 수원시 권선구 정조로 393-1,한국철도공사,전체_도시철도역사정보_20260228
station_unique:586,세마역,경부선,37.187288,127.043279,경기도 오산시 세마역로 88,한국철도공사,전체_도시철도역사정보_20260228
station_unique:587,세종대왕릉역,경강선,37.293636,127.570764,경기도 여주시 능서면 양화로 877,한국철도공사,전체_도시철도역사정보_20260228
station_unique:588,센텀시티,부산 도시철도 2호선,35.16892,129.131764,부산광역시 해운대구 센텀남대로 지하 76,부산광역시 부산교통공사,전체_도시철도역사정보_20260228
station_unique:589,센텀역,동해선,35.1793,129.1245,부산시 해운대구 해운대로 210,한국철도공사,전체_도시철도역사정보_20260228
station_unique:590,센트럴파크,인천지하철 1호선,37.392833,126.635002,인천광역시 연수구 인천타워대로 240,인천교통공사,전체_도시철도역사정보_20260228
station_unique:591,소래포구역,수인선,37.400963,126.733533,인천시 남동구 소래역로 51,한국철도공사,전체_도시철도역사정보_20260228
